timestamp,cdn_total,cdn_delta,libp2p_total,libp2p_delta
2026-05-17 14:08:45 UTC,124051,0,206499,0
2026-05-17 14:10:40 UTC,124051,0,206522,23
2026-05-17 14:11:41 UTC,124051,0,206552,30
2026-05-17 14:12:41 UTC,124051,0,206590,38
2026-05-17 14:13:41 UTC,124051,0,206631,41
2026-05-17 14:14:42 UTC,124051,0,206676,45
2026-05-17 14:15:43 UTC,124051,0,206732,56
2026-05-17 14:16:44 UTC,124051,0,206780,48
2026-05-17 14:17:44 UTC,124051,0,206836,56
2026-05-17 14:18:45 UTC,124051,0,206878,42
2026-05-17 14:19:46 UTC,124051,0,206982,104
2026-05-17 14:20:47 UTC,124051,0,207047,65
2026-05-17 14:21:47 UTC,124051,0,207077,30
